Tarea	Usuario	Texto	Lang_Texto	Respuesta	Lang_Resp	Autor_respuesta	A_favor	En_contra
Traduccion a Ingles		Alcanza el cuerpo de tus sueños, por medio de la tecnología Vaser	ES	Achieve the body of your dreams with the help of Vaser technology.	EN	93	1	
							49	
				Reach the body of your dreams, through Vaser technology	EN	90	8	
							24	
							3	
							0	
							4	
Ejercicio Ingles	38	What a weird song...	EN	Qué extraña canción	ES	38	5	
							9	
							93	
							24	
							3	
							50	
							1	
							0	
							4	
Ejercicio de Espanol	51	Tom seemed to know how.	EN	Tom aperece conocer como.	ES	51	3	93
								52
								53
								0
								4
				Tom parecía saber cómo.	ES	93	1	
							54	
							24	
							5	
Corrección de Ingles	55	You ought to do it once	EN	You ought to do it once	EN	55	57	46
							24	1
							93	58
							51	
							9	
							43	
							56	
							92	
							17	
							3	
							37	
							8	
							11	
Corrección de ingles	55	She is in vacations in this moments in EEUU	EN	She is in vacations in this moments in EEUU	EN	55	59	10
								93
								60
								9
								61
				She is on vacation at this moment in the United States.	EN	37	62	
							8	
							63	
							52	
				At the moment she is on vacation in the US.	EN	93	39	
							64	
							65	
							46	
				She is on vacation at this moment in the EU	EN	10	33	37
							66	67
							45	
Corrección de ingles	55	She hope to learn english becouse she like it and need for her job and all her life.	EN	She hope to learn english becouse she like it and need for her job and all her life.	EN	55		10
								60
								33
								68
								52
				She wants to learn English because she likes it and needs it for her job and everything else.	EN	37	93	
							39	
							64	
				She wants to learn English because she likes it and needs for her job and the rest of  her life.	EN	10	8	37
								9
								66
								61
								59
								67
Corrección de ingles	55	The name of my sister is Tahliana, she is fashion designer	EN	The name of my sister is Tahliana, she is fashion designer	EN	55	39	69
							64	33
								62
								9
								66
								61
				My sister's name is Tahliana, she is a fashion designer	EN	69	10	
							37	
							93	
							60	
Corrección de ingles	55	I grewth up only with my father, since I was 5 years	EN	I grewth up only with my father, since I was 5 years	EN	55		9
								60
								64
				Since i was 5, I grew up with only a father	EN	9	70	93
							59	
							37	
							61	
							8	
				My father raised me single-handedly since I was five years old.	EN	93	72	
							3	
							10	
							52	
Corrección de ingles	55	He will be always my best friend	EN	He will be always my best friend	EN	55	65	45
							9	10
							3	75
							73	
							74	
				He will be my best friend forever.	EN	45	76	39
							77	
							46	
							78	
							79	
							43	
							70	
				He will always be my best friend.	EN	39	93	
							37	
							61	
							72	
							8	
Correccion de Ingles	55	Is my family and friends and I am so proud of them	EN	Is my family and friends and I am so proud of them	EN	55		3
								93
								27
								39
								37
								80
								65
								67
								81
				They are my family and friends, and I am so proud of them.	EN	3	82	
							9	
							59	
							83	
				That's my family and friends, and I'm so proud of them.	EN	93	8	
							33	
							66	
							75	
							61	
Correccion de Ingles	55	I was waiting for 20 minutes for a taxi	EN	I was waiting for 20 minutes for a taxi	EN	55	83	93
							39	30
							43	84
							33	81
							37	
							66	
							75	
							80	
							65	
							67	
				I was waiting 20 minutes for a taxi.	EN	93	3	
							82	
							9	
							59	
							8	
Ejercicio de ingles	55	Yo quiero uno.	ES	I want one.	EN	55	91	
							27	
							85	
							86	
							87	
							88	
							19	
							93	
							0	
							6	
							89	
							3	
Ej. en	7	The day of decision is at hand.	EN	La decisión del día está a la mano.	ES	7	1	53
							94	93
							95	
				El día de la decisión está cerca.	ES	6	16	
							5	
							0	
							92	
							25	
				El día de la decisión está a la mano	ES	53	96	6
							22	
							88	
							3	
Ej. en	7	No, para nada	ES	No, for nothing.	EN	7	9	93
							94	92
							22	
							3	
				No, not at all.	EN	91	12	
							53	
							6	
							0	
Ej.en	7	¡Vuelvo enseguida	ES	I"ll be back now!	EN	7	0	6
							94	3
								92
				I will be right back!	EN	91	93	
							5	
							50	
							22	
				I'll be right back!	EN	6	97	
Ej. en	7	What an inspiration!	EN	Que inspiración!	ES	7	12	6
							53	
							37	
							9	
							94	
							98	
				¡Qué inspiración!	ES	6	5	
							0	
							92	
							93	
							50	
							22	
							3	
Ej. en	7	I still think of him	EN	Todavía pienso en el.	ES	7	53	93
							25	92
							50	3
							94	
							96	
							22	
							88	
				Todavía pienso en él.	ES	93	6	
							16	
							5	
							97	
							0	
Ej. En	7	The day of decision is at hand.	EN	La decisión del día está a la mano.	ES	7	1	53
							94	93
							95	
				El día de la decisión está cerca.		6	16	
							5	
							0	
							92	
							25	
				El día de la decisión está a la mano		53	96	
							22	
							88	
							3	
Ej. en	7	There's no time like the present.	EN	No hay tiempo como el presente.	ES	7	53	
							93	
							6	
							16	
							3	
							5	
							97	
							0	
							94	
							22	
Ej en	7	We need more information about this.	EN	Necesitamos más información acerca de esto.	ES	7	12	22
							53	
							93	
							6	
							16	
							3	
							5	
							0	
							50	
							92	
							94	
Trad En	7	Me siento desmotivada, porque no encuentro un método para aprender inglés rápido	ES	I'm unmotivated because I can not find a method to learn English quickly.	EN	99	19	
							59	
							100	
							27	
							93	
							0	
							8	
Trad. En	7	Mis perros duermen muy cómodos!	ES	My dogs sleep very comfortable!	EN	90	25	105
							101	
							102	
							103	
							104	
							84	
							75	
				My dogs are sleeping very comfortable!		105	106	109
							35	
							107	
							0	
							74	
							108	
TradEN	7	Con Yask, podría aprender a hablar inglés?	ES	With Yask, could you learn to speak English?	EN	90	59	0
							110	112
							111	
							108	
							106	
				Could I learn to speak English with Yask?		112	8	
							113	
							100	
Trad EN		Necesito aprender inglés en tiempo récord	ES	I need to learn English in record time	EN	90	114	
							106	
							0	
							115	
							59	
							25	
							113	
							111	
Trad En	7	Necesito ayuda para aprendera hablar inglés rápido.	ES	I need help to learn to speak English fast.	EN	90	114	
							106	
							0	
							59	
							111	
							113	
Trad. Aleman	12	Scrooge woke up, opened his bed-curtain and looked around (from A Christmas Carol by Charles Dickens)	EN	Scrooge wachte auf, öffnete seinen Vorhang und sah sich um (aus A Christmas Carol von Charles Dickens)	DE	90	39	11
Ej.FR	10	Encore une tasse de café ?	FR	Another cup of coffee?	EN	10	36	
							116	
							47	
							9	
							24	
							17	
							3	
							0	
Ej. FR	10	Il est juste là.	FR	He's just there.	EN	10	3	
							9	
							16	
							33	
							117	
				He's right here.		91	24	
							66	
							0	
Ejer.FR	10	Heureusement, tu vas bien.	FR	Fortunately, I'm good.	EN	10		64
								33
								118
				Hopefully, you are well.		24	0	99
							119	
				Fortunately, you are okay.		64	3	
							9	
				Fortunately, you are fine.		99	71	
							117	
				Hopefully, things are well with you.		91		24
Ej, FR	10	Où cours-tu, petit lapin ?	FR	Where is your neck, little rabbit?	EN	10	24	33
							118	119
								99
								3
				Where are you running, little rabbit?		33	0	
							66	
							79	
Ej. FR	10	Qui est-il ?	FR	Who is he	EN	10	24	
							119	
							9	
							66	
							3	
ej.FR	10	Je vais ignorer ça.	FR	I'm going to ignore it.	EN	10	24	
							64	
							33	
							66	
							99	
				I'll ignore that.		91	0	
							119	
Ej. En	23	Que yo siga vivo aún te lo debo a ti.	ES	I am still alive because of you	EN	23	24	
							93	
							1	
				I owe it to you that I am still alive.		91	34	28
							4	
							1	
							0	
							5	
Corre.EN	23	You have to learn how to be happy with that you have while you search all that you want	EN	You have to learn how to be happy with that you have while you search all that you want	EN	23	8	120
							0	9
							24	39
							3	11
								121
								52
								123
				You have to learn how to be happy with what you have while searching for all that you want		120	124	
							33	
							93	
							17	
							100	
							62	
Ej.EN	23	These are irreplaceable.,	EN	Estos son irremplazables.	ES	23	3	
							24	
							27	
							125	
							49	
							93	
							84	
							116	
							1	
							0	
							40	
							126	
Ej. EN	23	Mary just told me what she did.	EN	Mary solo me dijo lo que hizo	ES	23	24	93
							125	3
							84	
							116	
							127	
				Mary acaba de decirme lo que hizo.		93	128	
							129	
							27	
							87	
Ej.EN	23	El club tiene más de cincuenta miembros.	ES	The club has more than fifty members.	EN	23	91	
							93	
							128	
							3	
							87	
							24	
							125	
							49	
							89	
Ej. EN	23	There isn't any need for Tom to go there alone.	EN	No hay ninguna necesidad de que Tom vaya allí sólo	ES	23	49	93
							130	
							0	
				Tom no tiene que ir allí solo.		93	3	
							59	
							24	
				No hay necesidad que Tom vaya solo.		27	128	
							87	
Ej. EN	23	Is a human being mortal?	EN	¿El humano es un ser mortal?	ES	23		93
				¿Es un ser humano mortal?		27	131	
							130	
							24	
							128	
				¿Son mortales los humanos?		93	25	3
							125	
							87	
				¿Es humano ser mortal?		3	59	27
								26
								49
								0
Ej. EN	23	Lloro cada vez que escucho esta canción.	ES	When I listen this song, I cry	EN	23	3	25
							125	49
								128
								0
				I cry every time I listen to this song.		91	93	
							24	
Ej. EN	23	Cae en lágrimas.	ES	Fall in tears	EN	23	3	93
							49	
				Falls in tears.		93	24	
							89	
							0	
Ej. EN	23	I want you to call me as soon as you get there.	EN	Quiero que me llames tan pronto estés allí	ES	23	93	
							28	
							130	
							24	
							49	
							128	
							0	
eJ. en	23	Estamos en la segunda semana de una implacable ola de calor.	ES	We are in the second week of a implacable heat wave	EN	23	49	128
							24	0
				We're in the second week of an unrelenting heat wave.		91	93	
							3	
Ej.EN	23	Es mejor ser amada que temida.	ES	Is better to be loved than feared	EN	23	0	93
								49
								128
				It is better to be loved than feared. / It's better to be loved than feared. / Better loved than feared.		93	28	
							24	
							25	
Ej. EN	23	Tom is still disorganized.	EN	Tom es todavia desordenado	ES	23	27	26
							24	49
								93
								128
				Tom todavía es desordenado		0	3	
							59	
							132	
Ej. EN	23	Hazte llevar.	ES	Let you go	EN	23	3	49
							59	128
							24	
Ejer EN	23	The question is how.	EN	La pregunta es cómo	ES	23	63	93
							133	
							0	
							134	
				La cuestión es cómo.		93	24	
							52	
							3	
							12	
							135	
							89	
Ej.EN	135	Can I have a coffee?	EN	Puedo tener un café	ES	135	24	0
							89	87
							125	
							116	
				¿Me puede dar un café?		0	49	
							93	
							23	
							130	
							128	
							3	
Ej. En	135	Sólo no quiero herirla.	ES	I just didn't want to hurt her	EN	135	3	93
							125	128
							89	23
							116	87
				I just don't want to hurt her.		91	0	
							49	
							24	
Ej EN	135	Él es de este pueblo.	ES	He's from this village	EN	135	93	
							0	
							49	
							128	
							23	
							50	
							3	
				He is from this town.		91	130	
							24	
							89	
Ej.EN	135	¿Necesitas el libro?	ES	Do you need the book?	EN	135	91	48
							24	
							3	
							89	
							93	
				Do you need the book?k		48	53	0
							23	136
								137
								87
								52
Ej.EN	135	I described one.	EN	Describí uno	ES	135	24	
							93	
							89	
							49	
							130	
							0	
							52	
							3	
							23	
Ej EN	135	We want to reassure them.	EN	Queremos tranquilizarlos (calmarlos)	ES	135	3	
							137	
							89	
							93	
							24	
							87	
				Queremos renominarlos.		124	71	0
							52	136
								138
Ej. EN	135	They have mutual respect.	EN	Ellos se respetan	ES		89	93
								109
								136
								87
				Ellos se respetan mutuamente.		0	24	
							63	
							53	
							3	
							25	
							130	
				Se respetan el uno al otro.		93	48	0
							71	
Ej. EN	135	¡Desde luego!	ES	Off course	EN	135	140	99
							89	0
							28	
				Sure!		91	93	
							24	
							52	
							3	
Ej. EN	135	Ya lo sabes.	ES	You know	EN	135	93	
							24	
							28	
							99	
							19	
							59	
				You know this.		91	52	
							140	
							89	
Ej. EN	135	Tom and I are back together.	EN	Tom y yo regresamos juntos	ES	135	93	99
							130	
							3	
							24	
							0	
							63	
				Tom y yo hemos vuelto.		99	140	
Corre. EN	135	I don't know what write. It's my first visit	EN	I don't know what write. It's my first visit	EN	135	37	100
							10	39
								0
								9
								65
								141
								99
								60
								119
								52
				I don't know what to write. This is my first visit.		100	93	
							68	
							61	
Ej. EN	135	He is in want of money.	EN	A él le falta dinero	ES	135	100	
							24	
							93	
							0	
							89	
							99	
							19	
							52	
Ej. EN	140	Suelo tener conjuntivitis.	ES	I usually have conjunctivitis	EN	140	0	93
							24	142
								71
				I often get conjunctivitis.		91	124	
							49	
							53	
							109	
							143	
							3	
							136	
Corr EN	140	Objective: Continue developing my English commandment and Customer service skills in order to provide a positive experience to the clients.		Objective: Continue developing my English commandment and Customer service skills in order to provide a positive experience to the clients.		140	3	27
							60	37
							139	61
							137	93
							124	52
								142
								0
								33
								144
								109
								10
								122
				Goal: To continue developing my English skills and my Customer service skills in order to provide a positive experience to the clients.		27	145	
							39	
							68	
							8	
Tra EN	140	Continuar desarrollandome en el idioma inglés y en servicio al cliente para otorgar una experiencia positiva a los consumidores.	ES	Continue developing in the English language and in customer service to provide a positive experience to consumers.	EN	90	75	93
							8	0
							139	
				Carry on improving my English as well as my customer service skills, so as to provide a positive experience to consumers.		93	3	
							109	
Corr EN	140	They will be staying there for 10 days, unless the result of the matches does not be favourable	EN	They will be staying there for 10 days, unless the result of the matches does not be favourable	EN	140	124	147
							146	52
								148
								149
				They will be staying there for 10 days, unless the results of the matches aren't favourable.		147	110	
							39	
							150	
							99	
				They will be staying there for 10 days, unless the result of the matches is not favorable.		52	151	109
							152	
				They will be staying there for 10 days, unless the results of the matches are not favourable.		109	1	
Traduccion EN	140	De qué compañía le llaman?	ES	What company do they call you from?	EN	153	154	
							155	
							156	
							157	
							158	
				What company do they call you from?		159	113	
							27	
				What company do you call?		90	159	
							153	
Corr. EN	140	She sympathize with him over his unexpected dismissal	EN	She sympathize with him over his unexpected dismissal	EN	140	4	100
							124	160
								161
				She sympathizes with him over his unexpected dismissal		162	52	
							147	
							163	
							126	
							164	
							165	
				She sympathizes with him over his unexpected dismissal.		100	166	
							39	
							158	
							1	
							167	
							168	
Corr. EN	140	Will that mistake deduct me some points?	EN	Will that mistake deduct me some points?	EN	140	42	35
								
								167
				Will that mistake make me lose some points?	EN	153	170	
							171	
							39	
							52	
							172	
				Will that mistake deduct some points from me?		35	161	153
							164	147
								158
Corr. EN	140	Do that grammar errors really annoy American people? I'm asking 'cause as a Spanish native speaker, I only get "annoyed" when other native makes mistakes	EN	Do that grammar errors really annoy American people? I'm asking 'cause as a Spanish native speaker, I only get "annoyed" when other native makes mistakes	EN	0	173	113
								172
								150
								158
				Do those grammar errors really annoy American people? I'm asking 'cause as a Spanish native speaker, I only get "annoyed" when other natives make mistakes.		113	17	
							4	
							174	
							175	
							39	
							177	
							176	
				Do those grammar errors really annoy American people? I’m asking because as a native Spanish speaker,  I only get “annoyed “ when other natives make mistakes.		170	161	
							52	
							147	
							178	
							179	
							180	
							181	
							182	
Corr EN	140	I'm not sure if I have ever been in love, so I can't tell about it	EN	I'm not sure if I have ever been in love, so I can't tell about it	EN	140	176	147
								100
								172
				I'm not sure if I have ever been in love, so I can't say anything about it.		100	8	
							161	
							4	
							39	
							170	
							52	
				I'm not sure if I have ever been in love, so I can't say anything about this.		147	17	
CorrEN	140	I speak too little English	EN	I speak too little English	En	140	8	109
							147	192
							183	17
							184	193
							185	194
							186	195
							187	196
							188	197
							189	198
							129	199
							190	200
							191	
				My English is not very good.		109	100	
							161	
							4	
							201	
							39	
							172	
							202	
							203	
							204	
				I speak a little English.		206	52	205
							106	
							170	
							207	
							208	
							36	
							209	
							160	
							45	
							212	
							213	
							214	
							215	
							216	
							218	
				I speak too little English.		205	219	229
							220	230
							221	231
							222	
							223	
							224	
							225	
							226	
							227	
							228	
				I speak too basic English.		230	232	236
							233	
							234	
							235	
corr EN	140	I speak too basic English.	EN	I speak too basic English.	EN	140	193	239
							238	161
							223	240
							216	241
							217	194
							218	210
							198	221
							227	236
				Was having a dog always one of your dreams?		161	170	242
							106	
							219	
							36	
							206	
							39	
							4	
							52	
							211	
							213	
				Was "having a dog" always one of your dreams?		239	207	
							183	
							192	
							195	
							212	
							186	
							197	
							129	
							232	
							237	
							203	
							231	
							228	
				What having a dog always one of your dreams?		242	8	17
							172	147
							208	220
							209	222
							160	185
							187	
							204	
							191	
				Was having a dog always one of your dreams?		17	45	184
							215	
							188	
							189	
							233	
Corr EN	140	He always woke up early	EN	He always woke up early	EN	140	52	177
							161	
							147	
							172	
				He always wakes up early		177	243	
							4	
							39	
							27	
							178	
							163	
							170	
							35	
Trad EN	140	Estudiar hasta cansarse (hasta ya no poder más)	ES	Study until you get tired (until you can not anymore)	EN	90	8	
							243	
							4	
							178	
							163	
							172	
							244	
Corr EN	140	Just asking, no bad intentions	EN	Just asking, no bad intentions	EN	140	113	
							8	
							174	
							175	
							39	
							176	
							52	
				Just asking, no offence intended.		170	161	17
							4	
							172	
							147	
Comp EN	140	I'm sorry for arriving late	EN	I'm sorry for arriving late	EN	140	161	
				I'm sorry to be late		140	147	
							241	
							184	
							238	
							221	
				I’m sorry for arriving/being late.		170	192	
							219	
							39	
							4	
							106	
							206	
							52	
							36	
							172	
							207	
							183	
							194	
							209	
							195	
				I’m sorry for being late		208	17	
							193	
							202	
							160	
							45	
				I'm sorry for arriving late.		205	8	
							210	
Trad EN	140	Mi madre me puso el nombre ___, pero todos me llaman ___.	ES	My mother gave me the name ___, but everyone calls me ___.	EN	90	170	
							8	
							245	
							246	
							4	
							106	
							172	
Corr EN	140	I'm in love with the japanese food, it's so tasty	EN	I'm in love with the japanese food, it's so tasty	EN	140	247	
							248	
							249	
							237	
				I'm in love with Japanese food, it's so tasty!		250	100	
							251	
							252	
							253	
							254	
							150	
							106	
							255	
							256	
							219	
							125	
							257	
							160	
							170	
							259	
corr EN	140	I ate a sandwich for breakfast and my sister too	EN	I ate a sandwich for breakfast and my sister too	EN	140	260	
							261	
				I ate a sandwich for breakfast and so did my sister		251	109	
							252	
							253	
							254	
							150	
							106	
							256	
							257	
							237	
							160	
							170	
							258	
				my sister and I ate a sandwich at breakfast		248	255	
							262	
							219	
							125	
							249	
							259	
Corr EN	256	My best moments have been when I have realized that I wouldn't need nothing to enjoy them.	EN	My best moments have been when I realize that I don't need anything else to enjoy them.	En	35	263	
							264	
							258	
							170	
							1	
							265	
Corr EN	256	We prevent her from keeping her out of house, especially at night.	EN	We prevent her from getting locked out of the house, especially at night.	EN	42	27	
							170	
							1	
				We prevent her from letting her out of the house. Especially at night./We prevent or keep her from going out of the house. Especially at night.		258	109	
Corr EN	256	They use hats so the demons don't get inside them.	EN	They use hats so the demons don't get inside them.	EN	256	258	
				They wear hats so demons can't get inside their heads.		170	1	
							42	
							109	
Corr EN	256	I would have been able to cross the street	EN	I would have been able to cross the street	EN	256	35	
							266	
							267	
							268	
							269	
							132	
							40	
							270	
				I was able to cross the street		271	272	
Corr EN	256	Have you already had dinner?	EN	Have you already had dinner?	EN	256	35	
							273	
Corr EN	194	If he ask an opportunity he will get for sure	EN	If he ask an opportunity he will get for sure	EN	194	274	45
							31	275
				If he asks for an opportunity, he will get it, for sure.		93	11	
							37	
							92	
							276	
							3	
				If he asks for a chance, he will get it, for sure		9	64	278
							277	
				If he asks for an opportunity, he will get it for sure.		279	10	
							57	
							8	
							280	
				If he ask an opportunity, he will get it, for sure		45	281	9
							13	93
								39
								282
								11
				If he asks for an opportunity, he will get it, for sure.		282	54	61
				If he asks for a chance, he will get it, for sure.		278	283	279
				If he asks for an opportunity, he will get it, for sure		39	43	
Corre EN	194	If Karen buy expensive dresses she will get debts	EN	If Karen buy expensive dresses she will get debts	EN	194		284
								11
								279
								39
								283
								10
								43
								3
				If Karen buys expensive dresses she will be in debt		284	45	282
							93	
							13	
							274	
							64	
							8	
				If Karen buys expensive dresses she will be in debt.		282	275	
cORR EN	194	If I won the lottery I would travel over the world	EN	If I won the lottery I would travel over the world	EN	194	283	282
							10	43
							274	3
							275	64
							285	
				If I won the lottery I would travel all over the world.		282	93	
							11	
							279	
				If I would win the lottery I would travel over the world		3	9	
Corr EN	194	If I saw a alien I would get in shock	EN	If I saw a alien I would get in shock	EN	194	283	284
								93
								11
								279
								43
								3
								64
				If I saw an alien I would be shocked.		284	45	
							13	
							282	
							10	
							274	
							275	
Corr EN	194	If you live correctly you will rewarded	EN	If you live correctly you will rewarded	EN	194	45	282
							11	93
							10	43
							274	
				If you live correctly you will be rewarded.		282	283	
							93	
							39	
							279	
							57	
							3	
							281	
Corr EN	194	Do not load any video.	EN	Do not load any video.	EN	194	107	
							286	
							147	
							287	
							106	
							125	
							75	
				Don't upload any video		0	45	
							8	
							160	
							288	
							52	
							289	
				Download any video		291	39	
							149	
Comp EN	194	They were walking on the boardwalk.	EN	They were walking on the boardwalk.	En	194	147	
							151	
							292	
							293	
							295	
							294	
							296	
							8	
							106	
							52	
							297	
							298	
				They were walking along the boardwalk.		194	299	
							300	
							301	
							302	
							100	
							45	
							39	
							303	
							304	
							167	
							305	
							109	
							306	
							290	
							307	
							75	
Corr EN	194	A: Who washed the dishes?  B: It's Susan.	EN	A: Who washed the dishes?  B: It's Susan.	EN	194	147	251
							308	309
								310
								151
								69
								300
				A: Who washed the dishes?  B: It was Susan.		251	8	52
							156	
							109	
							311	
							206	
							312	
				A: Who washed the dishes?  B: Susan did.		0	193	
							45	
							314	
							39	
							315	
							157	
							316	
							186	
							317	
							124	
							318	
Corr EN	194	I need 2 liters a day.	EN	I need 2 liters a day.	EN	194	311	156
							52	
							314	
							147	
							165	
							39	
							315	
							69	
				I need 2 liters per day		156	310	
							319	
							312	
							317	
							151	
							300	
				I need two liters per day.		8	309	157
							45	
							186	
Corr EN	194	I need to drink two liters of water a day.	EN	I need to drink two liters of water a day.	EN	194	109	309
							310	25
							52	
							147	
							165	
							39	
							312	
							317	
							151	
							69	
				I need to drink two liters of water to day.		309	8	315
							186	320
								156
				I need to drink two liters of water a day.		315	314	316
								300
				I need to drink two liters of water for day.		25	313	319
							157	
Corr EN	194	How many money do you spend per month?	EN	How many money do you spend per month?	EN	194	309	321
							314	147
							186	39
								312
								317
								151
								69
								156
								45
Corr EN	194			How much money do you spend per month?		162	8	
							315	
							310	
							52	
							319	
							157	
Corr EN	194	How many yards of thread do you need?	EN	How many yards of thread do you need?	EN	194	52	
							156	
							147	
							309	
							109	
							8	
							310	
							39	
							312	
							315	
							157	
							186	
							151	
							69	
							314	
Corr EN	194	I don't drink milk frequently.	EN	I don't drink milk frequently.	EN	194	8	69
							311	
							52	
							74	
							147	
							309	
							310	
							39	
							312	
							315	
							157	
							186	
							317	
							151	
Corr EN	194	Mark talked by telephone with his brother.	EN	Mark talked by telephone with his brother.	EN	194	206	113
							124	322
							186	106
							164	169
							8	
				Mark talked to his brother over the phone		113	323	167
							45	
							39	
							134	
							147	
							324	
				Mark has talked with his brother on the phone		167	204	161
							325	
							52	
							312	
							172	
							192	
							158	
							235	
							327	
cOrrEN	194	I changed my old car.	EN	I changed my old car.	EN	194	323	167
							45	
							39	
							147	
							324	
							161	
				I have changed my old car.		167	328	
							204	
							134	
							325	
							322	
							106	
							206	
							312	
							172	
							186	
							326	
							158	
							164	
Tr ES	194	Go sweet or go home	EN	Se dulce (amable) o vete a casa.	ES	329	180	
							330	
							8	
							186	
							106	
				Endúlzate o vete		87		329
				Vete dulce o ve a casa		90	328	87
								172
								323
Trad ES	194	My heart goes toward you.	EN	Te acompaño de corazón	ES	87	1	
							132	
							172	
							209	
							220	
							331	
				Mi corazón late por ti.		147	8	87
							27	163
							4	
							210	
							332	
				Mi corazón va hacia ti.		90	140	147
							329	240
							186	
							333	
							197	
TRd ES	194	The memories are asking us	EN	Los recuerdos nos preguntan	ES	90	1	
							8	
							132	
							172	
							209	
							220	
							4	
							210	
Corr EN	194	Ignore bad comments	EN	Ignore bad comments	EN	194	52	
							334	
							207	
							245	
							206	
							147	
							335	
							336	
							106	
							39	
							161	
				Ignore any bad comments.		170	192	132
							249	
							337	
							338	
							339	
							209	
							213	
							219	
							82	
							223	
							340	
							42	
							341	
							342	
							343	
							344	
Corre EN	17	It's been a long time to not see you (what is the grammar mistake in this sentence?)	EN	It's been a long time since I saw you	EN	35	1	
							99	
							345	
							346	
							347	
							132	
				It’s been a long time since I have seen you.		170	150	
							258	
Trad EN	17	Uno se gana el cielo con perdón y no por rencor.	ES	One earns a place in heaven with forgiveness but not with resentment	EN	348	113	
							27	
		Informal					1	
							349	
Ej EN	285	Long live France.	EN	Larga vida a Francia	ES	285	27	
Corr EN	285	They was drinking maracuya juice	EN	They was drinking maracuya juice	EN	285	3	110
								282
